Id,Name,Genre,Platform,Publisher,Critic_Score,Year,RAWG Score,Description
57,Mario Kart 7,Racing,3DS,Nintendo,8.2,2011.0,4.04,"
      The newest installment of the fan-favorite Mario Kart™ franchise brings 
      Mushroom Kingdom racing fun into glorious 3D. For the first time, 
      drivers explore new competitive kart possibilities, such as soaring 
      through the skies or plunging into the depths of the sea. New courses, 
      strategic new abilities and customizable karts bring the racing 
      excitement to new heights.
    
      FEATURES:
    <ul>
<li>
        The Mario Kart franchise continues to evolve. New kart abilities add 
        to the wild fun that the games are known for. On big jumps, a kart 
        deploys a wing to let it glide over the track shortcut. When 
        underwater, a propeller pops out to help the kart cruise across the 
        sea floor.
      </li>
<li>
        Players can show their own style by customizing their vehicles with 
        accessories that give them a competitive advantage. For instance, 
        giant tires help a kart drive off-road, while smaller tires accelerate 
        quickly on paved courses.
      </li>
<li>
        People can choose to race as one of their favorite Mushroom Kingdom 
        characters or even as their Mii™ character.
      </li>
<li>
        New courses take players on wild rides over mountains, on city streets 
        and through a dusty desert. Nintendo fans will recognize new courses 
        on Wuhu Island and in the jungles from Donkey Kong Country™ Returns.
      </li>
<li>
        The game supports both SpotPass™ and StreetPass™ features.
      </li>
<li>
        Players can compete in local wireless matches or online over a 
        broadband Internet connection.
      </li>
</ul>"
60,Super Smash Bros. Ultimate,Fighting,NS,Nintendo,9.4,2018.0,4.39,"Super Smash Bros. Ultimate is the fifth game in its franchise. It is also the first game in its series to be released for Nintendo Switch.
<h3>Premise</h3>
The series is a crossover of characters from various video game franchises, such as The Legend of Zelda, Pokemon, Sonic the Hedgehog, Super Mario, Metroid, and Mega Man, among many others. Their famous protagonists fight each other on an arena. In accordance with its name, the game is the “ultimate” installment of the series, in that it offers the players all the characters ever featured in Super Smash Bros. The game also introduces five new characters, most famously, Castlevania&#39;s Simon Belmont.
<h3>Gameplay</h3>
Unlike most fighting games, Super Smash Bros. series is built around knocking opponents out of the arena rather than lowering their health bars. However, the damage meter increases the character&#39;s chances to be knocked out. Each fighter has a limited number of lives and loses one when he or she is knocked out. The player is eliminated when he or she loses all lives.
<h3>Multiplayer</h3>
Super Smash Bros. Ultimate includes several competitive multiplayer modes. Besides the traditional versus mode, there are several new modes not featured in the previous games. These include Tournament (the playoff mode for 32 players), Smash Squad (team multiplayer), Smashdown (a mode in which the defeated characters are eliminated)."
62,Grand Theft Auto: San Andreas,Action,PS2,Rockstar Games,9.5,2004.0,4.44,"Grand Theft Auto - San Andreas is the seventh entry in the series in the GTA franchise, but only second big title after GTA - Vice City. Setting up in fictional state San Andreas, you follow the story of CJ, a member of one of the multiple gangs in the city. CJ&#39;s family is being attacked in drive shooting which resulted in the death of CJ&#39;s mother, so he returns to home from Liberty City. Meeting the rest of the family at his mom&#39;s funeral, he decides to rebuild the gang and gain control of the state.
The game makes a brilliant connection with missions and open world actions that you are able to do around the cities. You can steal cars, buy guns, hunt for collectables and do some side quests, while different characters give you specific missions in order to push the plot forward. Streets are filled with people as well as plenty of vehicles to steal. Fictional brands of cars, tanks, bikes are available to be stolen from any place around the city. Armoury contains pistols, rifles, hand-machine guns or a rocket launcher as well as melee weapons giving player freedom in anything he&#39;s doing in GTA."
65,Zuma,Puzzle,PSN,Sony Online Entertainment,8.0,2009.0,3.74,"Survive the ancient temples of Zuma, the critically acclaimed action-puzzler from PopCap! Deep in the jungle lie hidden temples bursting with traps and trickery, and it&#39;s up to you to uncover their treasures. Fire magical balls from your stone frog idol to make matches of three or more and clear the deadly chain before it reaches the golden skull.<br />
Explore all the temples — if you&#39;re good, you’ll rack up huge combos and special bonuses that&#39;ll help you on your way. But think fast and aim smart, or you&#39;ll be history in this action-packed puzzle challenge!"
67,Super Mario Odyssey,Platform,NS,Nintendo,9.9,2017.0,4.41,"Super Mario Odyssey is a 3D platform game, a part of Nintendo’s Super Mario series. 
<h3>Story</h3>
The game follows Mario on his quest to save Princess Peach from her forced marriage with Bowser. The game starts with Mario fighting Bowser on its aircraft. Bowers knock Mario off the ship and shreds his cap into pieces. Mario awakens in the Cap Kingdom inhabited with hat-like spirits and befriends one of them named Cappy. It turns out, Bowser also kidnapped Cappy’s sister Tiara, and now the heroes must chase Bowser through several kingdoms to save Peach and Tiara. 
<h3>Gameplay</h3>
The gameplay of Super Mario Odyssey draws inspiration from Super Mario 64 and Super Mario Sunshine. The game consists 17 levels (named as “kingdoms”). In most of them, your goal is to collect a certain amount of Power Moons. Collecting enough of them allows the player to progress to the next kingdom. Some moons can be found in different parts of the level or acquired as a reward for completing certain tasks or challenges. The Mario’s moveset mostly resembles that of Super Mario 64 and includes wall jumps, triple jumps, somersaults, long jumps, rolling on the ground. The main new gameplay feature is that Mario can throw his hat to create temporary platforms, grab objects, attack enemies, or possess them. Possessing enemies gives you new moves and sometimes is necessary to reach certain parts of the level."
69,The Legend of Zelda: Breath of the Wild,Action-Adventure,NS,Nintendo,9.9,2017.0,4.54,"The Legend of Zelda: Breath of the Wild is an adventure game developed by Nintendo. It is the nineteenth installment in the series.
After awakening from a hundred year sleep, memoryless Link hears a mysterious female voice that guides him to a destroyed kingdom of Hyrule. He finds a Wiseman who says that a ruthless creature, Calamity Ganon, was imprisoned for 100 years. Even though the creature is trapped, it is still gaining power. Link sets out to kill Ganon before he frees himself and destroys the world.
In contrast to the previous titles in the series, Breath of the Wild the player to explore a vast open world. At the beginning of the game, a small tutorial is given to the players and they are free to travel the world at the pace they see fit. Link can climb almost every surface in the world, search for new equipment, cook food to restore health. Fast travel to certain places in the world is also available for the players. The world is highly interactive. For example, trees can be chopped down in order to make fire, or Link can use his shield as a snowboard."
70,Uncharted 4: A Thief's End,Action,PS4,Sony Interactive Entertainment,9.2,2016.0,4.52,"Uncharted 4 is the final instalment in the Uncharted series. The story follows Nathan Drake for the last time as he now searches for Captain Henry Avery&#39;s treasure. 
Introducing new characters such as Samuel Drake, with Sam and Sully Nathan agrees to find the treasure of the Gunsway heist in 1695. As antagonists, Nathan must face Rafe Adler and Nadine Ross while they are also trying to find this treasure and Nathan must face details about Sam&#39;s past.
Now changing the game&#39;s concept, Naughty Dog made locations much bigger and more explorable. Expanding the story behind Henry Avery&#39;s actions in history the story once again feels like Indiana Jones kind of adventure. Grappling hook, climbing on rocks and mountains or diving from the top, Nathan still engages into hand to hand combat with his enemies as well as using firearms. Nolan North, Emily Rose and Richard McGonagle return to the final instalment in the series to say farewell to the story of Nathan Drake for the last time."
73,Grand Theft Auto: Vice City,Action,PS2,Rockstar Games,9.6,2002.0,4.41,"Grand Theft Auto: Vice City is a third-person shooter with an open world. The game is set in a fictional city during the 1980’s and exhibits a unique design of locations, people, and objects, resembling the real world’s counterparts of Vice City, mainly Miami, FL. GTA: Vice City is a fourth game of the series, following Grand Theft Auto III.
The main character is introduced as Tommy Vercetti, an Italian-American mobster who works for a wealthy crime family. Throughout the story, the player will observe as the protagonist rises the ranks, sometimes making decisions of questionable nobility or profit. Our goal as a player is to ensure that Vercetti becomes the boss of all of Vice City’s mafia, and various story characters will help us or prevent us from achieving this goal.
The worlds of Grand Theft Auto series have long been worked upon and have been done in much detail, and Vice City is no different. The people on the sidewalks, the stylish cars and neon light clubs, the sky-high buildings and lively piers and beaches, everything will bring nostalgic feelings to those of players, whose eyes have seen the glory of this time. The gameplay, however, bears little difference from its predecessor, continuing the trend of big guns, explosions, and cop chases."
78,Counter-Strike: Source,Shooter,PC,VU Games,9.3,2004.0,3.68,"Counter-Strike: Source is the third entry of the big franchise of competitive shooters. Based on a modification to the original Valve game Half-Life, Counter-Strike: Source has no plot yet fully concentrating on a competitive part of the gameplay.
With two opposing teams, Counter Terrorist and Terrorist, each side has a unique set of weapons to choose. Having a big variety for a player, you can select a gun for your particular style of gameplay. Pistols, shotguns, rifles or machine guns are available in the game for a certain price you can earn by winning each round. You can win by successful bombing the target or defusing the bomb, eliminate the whole enemy team or by rescuing hostages. A big choice of game modes also aids plenty amount of maps. You can have a standard match, deathmatch, gun game or jumping challenges. In Counter-Strike: Source anyone can find something for himself."
79,Just Cause,Action,X360,Eidos Interactive,7.3,2006.0,3.32,"Grand Theft Auto-like Just Cause features a unique setting and the ability to literally destroy everything.
Play as Rico Rodriguez, CIA agent that on a mission to topple the dictator’s rule in one small tropical island San Esperito.Agent Rodriguez can count on the help from fellow colleagues from the agency: Tom Sheldon and Maria Kane.
The game features non-linear gameplay and fully open world with more than 1000 square kilometres of tropical jungle, sandy beaches and cities to explore. There are 21 story missions and more than 300 side quests to complete in the singleplayer campaign. Just Cause uses Avalanche Engine that allows recreating detailed landscapes and more than 80 ways to travel around San Esperito via land, air and water: at player disposal bikes, cars, boats, submarines, helicopters and planes. Rico can perform stunts with any of them, jump to another car or use parachute while on the roof."
81,Gran Turismo 3: A-Spec,Racing,PS2,Sony Computer Entertainment,9.3,2001.0,4.12,"Gran Turismo 3: A-Spec (グランツーリスモ3: A-spec Guran Tsūrisumo Surī A-supekku) is a 2001 racing game, the first in the Gran Turismo series released for the PlayStation 2.
The objective of the game is to win all the provided races, championships, complete license tests and achieve 100% game completion. Every 25% of the game completed results in the player being awarded a car as a special prize. For GT3, the Gran Turismo Mode (Simulation Mode in the North American version) has a reorganized layout, with a more structured and progressive arrangement of races and challenges. Races vary from short beginner events to multi-hour endurance races and also rallying events against an opponent. In addition, the car shops are now organized by country and then by manufacturer, which some find to be more intuitive than the East/West City method used in its predecessor.
The Arcade Mode is reorganized in &quot;stages&quot;; these stages are made up of 5 or 6 tracks pooled from all available tracks in the game, including both road and rally races. To get to the next stage, all tracks on a stage must be completed on Easy difficulty or higher. By beating the stage on Normal or Difficult, additional cars are unlocked as well for play in any mode of Arcade Mode (including two-player battle and time trial).
GT3 features 19 race courses, 14 of which have reverse variants&#39; and 4 of which are dirt tracks. Most of these circuits are at fictional locations, but California&#39;s Laguna Seca Raceway and Côte d’Azur (which is heavily based on the Monaco Grand Prix circuit) are not.
Other changes include the omission of the ability to &quot;race modify&quot; or add downforce to production cars, removal of suspension damage, and the absence of torque limits for races.
New to the franchise, GT3 also contained unlicensed versions of six actual Formula One cars, labelled as F686/M, F687/S, F688/S, F090/S, F094/H and F094/S (in the Japanese and American versions) that the player could win from endurance races. In the Japanese and American versions, the name of each car denotes various pieces of information (such as the amount of cylinders in the engine, the year the chassis was raced, and its driver, respectively). For example, the a forementioned F094/S was the 10-cylinder, 1994-season car driven by Ayrton Senna, whereas the F686/M represented the 6-cylinder, 1986-season car driven by Nigel Mansell. In the PAL release, however, there were only two F1 cars, not obviously based on any real-life counterparts and instead labelled as Polyphony 001 and 002 respectively.
GT3 also marks informal appearances of automakers Lamborghini and Porsche. A racing JGTC Lamborghini Diablo was featured in the NTSC-J version (where the car has been cut from NTSC-U copy and being available in NTSC-U copy with a cheat device), and a Porsche 911 GT3 can be found in the game code (though it cannot be obtained normally, and requires the use of a cheat device). Both cars, together with two hidden Lancia Stratoses (road and rally versions), however, are completely absent in PAL version. Lamborghini would make its first official appearance in 2009&#39;s Gran Turismo (PSP), while Porsche made its first official appearance in Gran Turismo Sport for the PlayStation 4."
82,Brain Age 2: More Training in Minutes a Day,Misc,DS,Nintendo,8.0,2007.0,0.0,"
      Hot on the heels of Brain Age: Train Your Brain in Minutes a Day!, the 
      brain training phenomena grows with Brain Age 2: More Training in 
      Minutes a Day! Seventeen all new, engaging activities designed to help 
      work your brain and increase blood flow to the prefrontal cortex. 
      Whether you’re playing simple songs on a piano keyboard or monitoring 
      the photo finish of a footrace, you’ll love your new mental workout!
    "
83,Call of Duty: Modern Warfare 3,Shooter,X360,Activision,8.7,2011.0,3.65,"The eighth Call of Duty game overall is the sequel to Modern Warfare 2 and is set in an alternate reality of the modern era. In the campaign mode, the game continues the Modern Warfare storyline about an American spec ops squad Task Force 141 fighting Russian nationalists. <br />
The player will control different characters on various military missions across the world. The protagonists from the previous part, Soap MacTavish and John Price, appear in certain missions but are sidelined by several new playable characters, most prominently, the Russian former Spetsnaz operative Yuri. Terrorist leader Vladimir Makarov, the villain of Modern Warfare 2, returns as well, and is trying to provoke the start of World War III. The player’s missions this time will be centered around protecting the West against Makarov’s attacks.<br />
The game introduces a new Survival mode, in which the player repeals wave after wave of eternally respawning opponents. This mode allows for multiplayer co-op for two players. The traditional multiplayer mode was revised as well, adding a new reward mechanic, Pointstreaks, in which the player can choose between three sets of rules, called “strike packages”, to count his or her points."
84,Splatoon,Shooter,WiiU,Nintendo,8.4,2015.0,4.02,"Splatter enemies and claim your turf as the ink-spewing, squid-like<br />
characters called Inklings in Nintendo&#39;s new third-person action shooter<br />
game for the Wii U console.
Compete in four-on-four matches, in which the goal is to get your ink on<br />
as many places as possible and claim your turf, all while strategically<br />
submerging yourself in your team&#39;s colors and blasting your enemies.<br />
This is a colorful and chaotic online third-person action shooter –<br />
exclusively on Wii U.
FEATURES:
Fresh content
New weapons, modes, maps, gear, and more have been added to Splatoon,<br />
with more rolling out through summer 2015. Plus, regularly scheduled<br />
Splatfest events let you choose a side and battle your way to victory<br />
with other players around the world!
Online* team matchmaking:
Create a squid squad with your friends in Squad Battle mode.
Join up to seven friends in Private Battles—you choose the map and the<br />
rules.
Get teamed up with other players for 4 vs. 4 matches in Turf War or<br />
Ranked Battle modes.
Ramp up the intensity with Ranked Battle modes which include three<br />
rotating modes: Splat Zones, Tower Control, and Rainmaker
Play to win and boost your player ranking or level, or get in-game<br />
currency to spend on gear upgrades.
Think while you ink
Strategy is everything. Defeat enemies to splatter them in an<br />
explosion of ink, covering more turf for your team. But choose wisely:<br />
Players who only go after the enemy might find their turf redecorated<br />
in their enemies&#39; colors.
Refill ink tanks, hide from opponents or move faster by turning into a<br />
squid and diving intoink with the tap of a button.
Covering more territory with ink unlocks powered-up super weapons that<br />
can be used to attack rivals or cover more turf.
More ways to play
Select between multiple control options on the Wii U GamePad<br />
controller, including using gyroscopic controls to look around,<br />
allowing for better aiming and control.
Hone your skills in Octo Valley, the single-player mode that will have<br />
you inking, splatting, and squidding through platforming puzzles as<br />
you take on the Octarian army.
Battle a friend one-on-one at home in a balloon-splatting contest in<br />
Battle Dojo."
85,Call of Duty: Black Ops,Shooter,X360,Activision,8.8,2010.0,4.0,"Call of Duty: Black Ops is a first-person shooter, a seventh installment in the series altogether and a sequel to Call of Duty: World at War. The game takes place during the Cold War and shows different historical periods of it.<br />
The main character is a CIA agent, set out on different classified missions and tasked with eliminating enemies if needed. The story in the game is complicated, featuring characters from the previous games, and historical figures like JFK and Fidel Castro. Despite its emphasis on the scenario and real-world plausibility, Black Ops doesn’t lack in gameplay terms, as the combat system is, as established in series, extensive and realistic. The graphics are made for the player’s highest level of entertainment, with massive special effects and excellent quality of every detail.<br />
Call of Duty: Black Ops features a trademark multiplayer system, with different game modes, competitive play, and cooperative maps. The players can earn ranks for their performance, unlock new customizable weapons and different perks for use in the upcoming battles."
87,Halo 3,Shooter,X360,Microsoft Game Studios,9.6,2007.0,4.33,"Halo 3 is a first-person shooter from Bungie and another installment in one of the most popular gaming universes. The third part of the franchise completes the story begun in Halo: Combat Evolved.
The action takes place in years 2552-53, in which humanity colonized the distant boundaries of the universe and met the aliens The Covenant. As a result of the conflict, a war begins between two species. Play as the Master Chief, who suffers a crash in eastern Africa. He is found by his allies Johnson and the Arbiter and together they are sent to repel the alien aggressors.
Halo 3 is a traditional first-person shooter, with a well-designed game world and mythology. The series is known for its multiplayer, which many consider the best in the genre. Matches can fit up to 16 people, who fight in several game modes. They are a variation on the Deathmatch and Capture the Flag modes. In addition to multiplayer battles, players can go through the campaign together with 3 friends in a cooperative mode."
90,Red Dead Redemption 2,Action-Adventure,PS4,Rockstar Games,9.8,2018.0,4.54,"America, 1899. The end of the wild west era has begun as lawmen hunt down the last remaining outlaw gangs. Those who will not surrender or succumb are killed. 
After a robbery goes badly wrong in the western town of Blackwater, Arthur Morgan and the Van der Linde gang are forced to flee. With federal agents and the best bounty hunters in the nation massing on their heels, the gang must rob, steal and fight their way across the rugged heartland of America in order to survive. As deepening internal divisions threaten to tear the gang apart, Arthur must make a choice between his own ideals and loyalty to the gang who raised him.
From the creators of Grand Theft Auto V and Red Dead Redemption, Red Dead Redemption 2 is an epic tale of life in America at the dawn of the modern age."
93,Call of Duty: Modern Warfare 2,Shooter,X360,Activision,9.5,2009.0,4.26,"Continuation of the sensational first-person shooter from Infinity Ward and Activision. It is rather difficult to maintain a high level of games every year, but it worked out in the sixth part of the series. The game continues the storyline of the previous part.
The game consists of numerous fast-paced gunfights. Classic hit points are not here anymore - after receiving damage, the player only needs to sit tight in safety waiting for health to come back. There are three game modes: the story campaign, multiplayer and Spec Ops. 
If there are almost no changes in the campaign, and this is the same linear story, the Spec Ops includes 23 new levels for single or cooperative completion. Each level is a new task, a new challenge whether it is the defusing a bomb or the elimination of enemy forces. Levels are divided into tiers by their complexity.
As in any other game of the series, the multiplayer in Modern Warfare 2 takes a special place. Each match is a mission, for which you need to come up with new strategies to complete. As in the past, new weapons and perks are opened for the execution of tasks."
94,Call of Duty: WWII,Shooter,PS4,Activision,8.0,2017.0,3.48,"Includes Digital Edition Bonus Content: 1,100 Call of Duty Points*<br />
PRE-ORDER AND GET:<br />
- Multiplayer Upgrade (Weapon Unlock + 2XP)</strong><br />
- Zombies Camo***<br />
- Divisions Pack<br />
Call of Duty® returns to its roots with Call of Duty®: WWII - a breathtaking experience that redefines World War II for a new gaming generation. Land in Normandy on D-Day and battle across Europe through iconic locations in history’s most monumental war. Experience classic Call of Duty combat, the bonds of camaraderie, and the unforgiving nature of war against a global power throwing the world into tyranny.<br />
Call of Duty®: WWII creates the definitive World War II next generation experience across three different game modes: Campaign, Multiplayer, and Co-Operative. Featuring stunning visuals, the Campaign transports players to the European theater as they engage in an all-new Call of Duty® story set in iconic World War II battles. Multiplayer marks a return to original, boots-on-the ground Call of Duty gameplay. Authentic weapons and traditional run-and-gun action immerse you in a vast array of World War II-themed locations. The Co-Operative mode unleashes a new and original story in a standalone game experience full of unexpected, adrenaline-pumping moments."
96,New Super Mario Bros. 2,Platform,3DS,Nintendo,7.5,2012.0,3.72,"Bowser has once again kidnapped Princess Peach, but this time, Mario has<br />
another objective. The Mushroom Kingdom is bursting with more gold coins<br />
than before. Each level is littered with gold as coins rain down from<br />
overhead pipes, trails of coins are left behind special gold enemies and<br />
gold pipes transport Mario into coin-filled caverns. It&#39;s up to players<br />
to collect as many coins as possible throughout their adventure.
FEATURES:
The game records all the coins players collect throughout the game, so<br />
completing a level is only part of the fun. Every level is filled with<br />
golden opportunities, such as gold rings that turn enemies into<br />
valuable gold versions and a Gold Flower that gives Mario the ability<br />
to turn almost anything in his path into coins.
Coin Rush Mode allows players to collect as many coins as possible<br />
across three levels and challenge friends to beat their record via<br />
StreetPass.
New Super Mario Bros. 2 is an all-new side-scrolling adventure game<br />
featuring Mario and Luigi. Two players who each own the game will have<br />
the option to play the entire game in two-player multiplayer mode<br />
using local wireless.
The return of Raccoon Mario gives Mario the ability to fly and access<br />
hidden areas.
Players will have the option to either purchase the game at retail<br />
stores or download the entire game through the Nintendo eShop.
In-game content available for purchase using stored account funds."
97,Super Smash Bros. Brawl,Fighting,Wii,Nintendo,9.2,2008.0,4.29,"Super Smash Bros. Brawl is a crossover platform fighting game for the Nintendo Wii published by Nintendo in 2008 and the third entry in the Super Smash Bros. series. It was developed by an ad hoc development team consisting of staff from Sora Ltd, GAME ARTS, Monolith Soft, HAL Laboratory and Paon.
Like the two precedent instalments, the game features characters, locations and items from various Nintendo video game franchises such as Mario, The Legend of Zelda or Kirby. However, Brawl is the first game to include characters from third-party franchises, such as Sonic the Hedgehog or Solid Snake from the Metal Gear series. 
The Smash Bros. series is notable among fighting games for its unorthodox gameplay. A game takes place on a stage that could be compared to a platform game level. Instead of a health bar, damage is represented by a percentage. When a player hits another, the victim&#39;s percentage increases. The higher the percentage, the further a player will be knocked away when hit. The goal is to knock other players out of the screen using a varied set of moves. Two to four players can fight at the same time, either in a free-for-all match or a team battle. Special rulesets also allow for different win conditions.
Items randomly appear around the stage and can be picked up and used by fighters to aid in combat. These include food that heals the user, various weapons such as laser swords or firework launchers, or even Pokéballs containing powerful Pokémon. Brawl also introduces Assist Trophies, items that allow one to summon characters from various franchises to fight for them temporarily, as well as Smash Balls, which, when broken, allow a fighter to unleash their ultimate attack on their opponents. The game also supports custom rulesets, allowing players to disable items if they wish.
Brawl is the first game in the series to include a complete single-player story campaign, named the Subspace Emissary. It features all the playable characters in the midst of a conflict against a mysterious entity looking to collect pieces of their world for an unknown reason. The player fights hoards of enemies throughout a multitude of platforming levels. It was also the first game to allow online play with friends or random players. This feature is no longer available due to the discontinuation of the Wii&#39;s online service in May 2014
Super Smash Bros. Brawl was praised by the critic for its fun and easy to learn gameplay, its sheer density and the attention put into the representation of its featured franchises. However, it left many fans of the series, particularly its competitive aspect, disappointed. The changes made to the gameplay from Melee considerably slowed the pace of the game and severe balance issues existed, which resulted in the game&#39;s competitive scene becoming inactive early in its life. To fix these issues, players resorted to modding. Among the various mods that were created was Project M, a mod that, at first, aimed to make Brawl feel more like its predecessor Melee, and later grew to become much more distinct from any game in the series. Project M gathered a decently sized competitive scene to the point where it was played at major tournaments along with the official games, but its development eventually shut down in 2015.
Despite this, Brawl is the eight best-selling game on the Wii, having sold 13.29 million units as of March 2018. It is often considered to be the best Smash Bros. game for casual play or single-player."
98,Marvel's Spider-Man,Action-Adventure,PS4,Sony Interactive Entertainment,9.1,2018.0,4.43,"Marvel&#39;s Spider-Man offers the player to take on the role of the most famous Marvel superhero.
<h3>Plot</h3>
The game introduces Spider-Man as an already experienced superhero. By the time the game begins, Peter has captured the infamous Kingpin as well as several other supervillains. Now, a gang that goes by the name of Demons poses a new danger to New York. Meanwhile, Peter is working for the scientist Otto Octavius, who didn&#39;t yet become Dr. Octopus, on their science project. Throughout the game, Spidey has to deal with multiple enemies, such as Norman Osbourne, Electro, Vulture, Rhino and Kingpin, among others.
<h3>Gameplay</h3>
The player controls Peter Parker, aka Spider-Man, from the third person view. There are also sections of the game in which the player controls other protagonists, namely Mary Jane and Miles Morales. The game is set in a 3D environment that is modeled after New York City. The player can travel the city using web slings, running, jumping, and crawling the walls. The setting includes numerous high-rise buildings designed specifically for Spider-Man&#39;s movements.
As the player progresses, he or she unlocks new suits that grant Spider-Man new abilities, such as additional attacks or enhanced Spider-Sense. The abilities are not tied to the suits, however, and the player can use the suit of his or her choice without losing the ability. The combat system is similar to that in Batman: Arkham, in that Spider-Man fights many opponents in hand-to-hand combat but avoids killing them."
99,Grand Theft Auto III,Action,PS2,Rockstar Games,9.5,2001.0,4.18,"Grand Theft Auto III is an open-world action game, a part of the criminal franchise GTA. As the first in the series 3D game with high-quality textures, GTA III became exemplary in its genre. 
The action is located in fictional Liberty City. Its map is divided into three parts – each becomes available gradually, depending on the storyline progress. The player takes control of the character from the third-person view. 
The classic feature of GTA III is the ability to interact with the world: explore the map either on foot or by car, contact with other characters, visit weapon stores and shoot everywhere. Although GTA III is another chapter of the franchise, its plot is unique. 
The story begins with the dynamic bank robbery. During the heist scene, the main character (silent and unnamed for the whole game) gets betrayed by his accomplice Catalina. By good fortune, the protagonist escapes from imprisonment and starts making both ends meet in Liberty City after being deceived. Therefore, his only wish – also the main idea of the storyline – to take the revenge on the former partner."
100,Portal 2,Shooter,PC,Valve,9.7,2011.0,4.61,"Portal 2 is a first-person puzzle game developed by Valve Corporation and released on April 19, 2011 on Steam, PS3 and Xbox 360. It was published by Valve Corporation in digital form and by Electronic Arts in physical form. 
Its plot directly follows the first game&#39;s, taking place in the Half-Life universe. You play as Chell, a test subject in a research facility formerly ran by the company Aperture Science, but taken over by an evil AI that turned upon its creators, GladOS. After defeating GladOS at the end of the first game but failing to escape the facility, Chell is woken up from a stasis chamber by an AI personality core, Wheatley, as the unkempt complex is falling apart. As the two attempt to navigate through the ruins and escape, they stumble upon GladOS, and accidentally re-activate her...
Portal 2&#39;s core mechanics are very similar to the first game&#39;s ; the player must make their way through several test chambers which involve puzzles. For this purpose, they possess a Portal Gun, a weapon capable of creating teleportation portals on white surfaces. This seemingly simple mechanic and its subtleties coupled with the many different puzzle elements that can appear in puzzles allows the game to be easy to start playing, yet still feature profound gameplay. The sequel adds several new puzzle elements, such as gel that can render surfaces bouncy or allow you to accelerate when running on them.
The game is often praised for its gameplay, its memorable dialogue and writing and its aesthetic. Both games in the series are responsible for inspiring most puzzle games succeeding them, particularly first-person puzzle games. The series, its characters and even its items such as the portal gun and the companion cube have become a cultural icon within gaming communities.
Portal 2 also features a co-op mode where two players take on the roles of robots being led through tests by GladOS, as well as an in-depth level editor."
101,Dead Rising,Action,X360,Capcom,8.4,2006.0,3.7,"Dead Rising was a specific iteration of an open world action horror game that is considered to be a beat ‘em up. The difference is that it’s a zombie survival with horror elements and crafting mechanics. The protagonist, Frank West, is sneaking into the Willamette to gather information on the reasons why is it being sealed by the National Guard. After landing on the roof of the big shopping mall, Frank asks the pilot to pick him up in 72 hours. Inside Frank learns of a massive zombie outbreak, and a threat of it nationwide infestation.<br />
In order to complete missions, the player will have to explore the shopping mall and fend off the zombies. Frank has access to more than 250 items that can be used as weapons, ranging from low to high damage. Some of the weapons might have environmental properties, like being heated on the open fire. All weapons can be used a limited amount of times in order to make the player explore and search for random encounters, with struggling survivors that need saving, or “psychopaths” that act as mini-bosses. The game uses RPG elements, where the player earns Prestige Points that can be spent to improve skills and attributes. As a photographer, Frank has a camera that can be used to take pictures, that are rated and their rating score is converted into the Prestige Points."
103,Super Mario Galaxy,Platform,Wii,Nintendo,9.7,2007.0,4.31,"Become Mario as he traverses gravity-bending galaxies, traveling in and out of gravitational fields by blasting from planet to planet. Control Mario with the Wii Remote™ and Nunchuk™. Power-up to reach inaccessible areas. Collect Star Bits to either stun enemies or feed Lumas."
106,Super Mario 3D Land,Platform,3DS,Nintendo,8.9,2011.0,4.2,"Super Mario 3D Land reinvents everything fans love about Mario™ gaming<br />
with the first platforming environment in true 3D, without the need for<br />
special glasses Players will experience an exhilarating new sense of<br />
depth, distance and speed while running, jumping and stomping on enemies<br />
throughout the levels.
Tanooki Mario returns! The fan-favorite Tanooki suit makes its first<br />
appearance on the Nintendo 3DS. Use the Tanooki suit’s tail to attack<br />
enemies or float gently down from great heights. These abilities help<br />
players move through the 3D environments with more confidence.
3D visuals make it easier for players to judge the depths and<br />
distances in their environments. Players can more accurately judge the<br />
jump to the next platform or how far Mario is from a question block.
New and familiar abilities add unique game-play strategies to the<br />
adventure. Mario can perform a rolling somersault attack or run fast<br />
with a dash move.
The Circle Pad gives players complete control to confidently move<br />
Mario through fun and challenging environments.
New enemies include Goombas with tails, tall stacks of Goombas and a<br />
Piranha Plant that spits ink to obscure a player’s view."
108,Animal Crossing: New Leaf,Simulation,3DS,Nintendo,8.6,2013.0,4.34,"Animal Crossing: New Leaf is a life simulation video game released in 2012 for the Nintendo 3DS. The player takes on the role of mayor of a new town, and with the help of the townsfolk and Isabelle, an eager secretary, it will be their job to make the town a better place to live."
